q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.3018682992,-0.2528024488,0.6108652382,55.40844097,153.5605858,70,1,1,safe,
-0.3018682992,-0.2528024488,0.6981317008,55.40844097,153.5605858,80,1,1,safe,
-0.3018682992,-0.2528024488,0.7853981634,55.40844097,153.5605858,90,1,1,safe,
-0.3018682992,-0.2528024488,0.872664626,55.40844097,153.5605858,100,1,1,safe,
-0.3018682992,-0.2528024488,0.9599310886,55.40844097,153.5605858,110,1,1,safe,
-0.3018682992,-0.2528024488,1.047197551,55.40844097,153.5605858,120,1,1,safe,
-0.3018682992,-0.2528024488,1.134464014,55.40844097,153.5605858,130,1,1,safe,
-0.3018682992,-0.2528024488,1.221730476,55.40844097,153.5605858,140,1,1,safe,
-0.3018682992,-0.2528024488,1.308996939,55.40844097,153.5605858,150,1,1,safe,
-0.3018682992,-0.2528024488,1.396263402,55.40844097,153.5605858,160,1,1,safe,
-0.3018682992,-0.2528024488,1.483529864,55.40844097,153.5605858,170,1,1,safe,
-0.3018682992,-0.1655359862,0,55.40844097,143.5605858,0,1,1,safe,
-0.3018682992,-0.1655359862,0.0872664626,55.40844097,143.5605858,10,1,1,safe,
-0.3018682992,-0.1655359862,0.1745329252,55.40844097,143.5605858,20,1,1,safe,
-0.3018682992,-0.1655359862,0.2617993878,55.40844097,143.5605858,30,1,1,safe,
-0.3018682992,-0.1655359862,0.3490658504,55.40844097,143.5605858,40,1,1,safe,
-0.3018682992,-0.1655359862,0.436332313,55.40844097,143.5605858,50,1,1,safe,
-0.3018682992,-0.1655359862,0.5235987756,55.40844097,143.5605858,60,1,1,safe,
-0.3018682992,-0.1655359862,0.6108652382,55.40844097,143.5605858,70,1,1,safe,
-0.3018682992,-0.1655359862,0.6981317008,55.40844097,143.5605858,80,1,1,safe,
-0.3018682992,-0.1655359862,0.7853981634,55.40844097,143.5605858,90,1,1,safe,
-0.3018682992,-0.1655359862,0.872664626,55.40844097,143.5605858,100,1,1,safe,
-0.3018682992,-0.1655359862,0.9599310886,55.40844097,143.5605858,110,1,1,safe,
-0.3018682992,-0.1655359862,1.047197551,55.40844097,143.5605858,120,1,1,safe,
-0.3018682992,-0.1655359862,1.134464014,55.40844097,143.5605858,130,1,1,safe,
-0.3018682992,-0.1655359862,1.221730476,55.40844097,143.5605858,140,1,1,safe,
-0.3018682992,-0.1655359862,1.308996939,55.40844097,143.5605858,150,1,1,safe,
-0.3018682992,-0.1655359862,1.396263402,55.40844097,143.5605858,160,1,1,safe,
-0.3018682992,-0.1655359862,1.483529864,55.40844097,143.5605858,170,1,1,safe,
-0.3018682992,0.1835298642,0,55.40844097,103.5605858,0,1,1,safe,
-0.3018682992,0.1835298642,0.0872664626,55.40844097,103.5605858,10,1,1,safe,
-0.3018682992,0.1835298642,0.1745329252,55.40844097,103.5605858,20,1,1,safe,
-0.3018682992,0.1835298642,0.2617993878,55.40844097,103.5605858,30,1,1,safe,
-0.3018682992,0.1835298642,0.3490658504,55.40844097,103.5605858,40,1,1,safe,
-0.3018682992,0.1835298642,0.436332313,55.40844097,103.5605858,50,1,1,safe,
-0.3018682992,0.1835298642,0.5235987756,55.40844097,103.5605858,60,1,1,safe,
-0.3018682992,0.1835298642,0.6108652382,55.40844097,103.5605858,70,1,1,safe,
-0.3018682992,0.1835298642,0.6981317008,55.40844097,103.5605858,80,1,1,safe,
-0.3018682992,0.1835298642,0.7853981634,55.40844097,103.5605858,90,1,1,safe,
-0.3018682992,0.1835298642,0.872664626,55.40844097,103.5605858,100,1,1,safe,
-0.3018682992,0.1835298642,0.9599310886,55.40844097,103.5605858,110,1,1,safe,
-0.3018682992,0.1835298642,1.047197551,55.40844097,103.5605858,120,1,1,safe,
-0.3018682992,0.1835298642,1.134464014,55.40844097,103.5605858,130,1,1,safe,
-0.3018682992,0.1835298642,1.221730476,55.40844097,103.5605858,140,1,1,safe,
-0.3018682992,0.1835298642,1.308996939,55.40844097,103.5605858,150,1,1,safe,
-0.3018682992,0.1835298642,1.396263402,55.40844097,103.5605858,160,1,1,safe,
-0.3018682992,0.1835298642,1.483529864,55.40844097,103.5605858,170,1,1,safe,
-0.3018682992,0.2707963268,0,55.40844097,93.56058576,0,1,1,safe,
-0.3018682992,0.2707963268,0.0872664626,55.40844097,93.56058576,10,1,1,safe,
-0.3018682992,0.2707963268,0.1745329252,55.40844097,93.56058576,20,1,1,safe,
-0.3018682992,0.2707963268,0.2617993878,55.40844097,93.56058576,30,1,1,safe,
