q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.685840735,0.16607657,-0.6827679931,168.5915591,30.43941401,83.38027522,1,1,safe,
-0.685840735,0.16607657,-0.6391347618,168.5915591,30.43941401,88.38027522,1,1,safe,
-0.685840735,0.16607657,-0.5955015305,168.5915591,30.43941401,93.38027522,1,1,safe,
-0.685840735,0.16607657,-0.5518682992,168.5915591,30.43941401,98.38027522,1,1,safe,
-0.685840735,0.16607657,-0.5082350679,168.5915591,30.43941401,103.3802752,1,1,safe,
-0.685840735,0.16607657,-0.4646018366,168.5915591,30.43941401,108.3802752,1,1,safe,
-0.685840735,0.16607657,-0.4209686053,168.5915591,30.43941401,113.3802752,1,1,safe,
-0.685840735,0.16607657,-0.377335374,168.5915591,30.43941401,118.3802752,1,1,safe,
-0.685840735,0.16607657,-0.3337021427,168.5915591,30.43941401,123.3802752,1,1,safe,
-0.685840735,0.16607657,-0.2900689114,168.5915591,30.43941401,128.3802752,1,1,safe,
-0.685840735,0.16607657,-0.2464356801,168.5915591,30.43941401,133.3802752,1,1,safe,
-0.685840735,0.16607657,-0.2028024488,168.5915591,30.43941401,138.3802752,1,1,safe,
-0.685840735,0.16607657,-0.1591692175,168.5915591,30.43941401,143.3802752,1,1,safe,
-0.685840735,0.16607657,-0.1155359862,168.5915591,30.43941401,148.3802752,1,1,safe,
-0.685840735,0.16607657,-0.0719027549,168.5915591,30.43941401,153.3802752,1,1,safe,
-0.685840735,0.16607657,-0.0282695236,168.5915591,30.43941401,158.3802752,1,1,safe,
-0.685840735,0.16607657,0,168.5915591,30.43941401,161.619724,1,1,safe,
-0.685840735,0.200983155,-1.25,168.5915591,34.439414,18.38027522,1,1,safe,
-0.685840735,0.200983155,-1.206366769,168.5915591,34.439414,23.38027522,1,1,safe,
-0.685840735,0.200983155,-1.162733537,168.5915591,34.439414,28.38027522,1,1,safe,
-0.685840735,0.200983155,-1.119100306,168.5915591,34.439414,33.38027522,1,1,safe,
-0.685840735,0.200983155,-1.075467075,168.5915591,34.439414,38.38027522,1,1,safe,
-0.685840735,0.200983155,-1.031833843,168.5915591,34.439414,43.38027522,1,1,safe,
-0.685840735,0.200983155,-0.9882006122,168.5915591,34.439414,48.38027522,1,1,safe,
