q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.406588055,0.86420827,0.7853981634,43.4084409,37.56058612,90,1,1,safe,
-0.406588055,0.86420827,0.8290313947,43.4084409,37.56058612,95,1,1,safe,
-0.406588055,0.86420827,0.872664626,43.4084409,37.56058612,100,1,1,safe,
-0.406588055,0.86420827,0.9162978573,43.4084409,37.56058612,105,1,1,safe,
-0.406588055,0.86420827,0.9599310886,43.4084409,37.56058612,110,1,1,safe,
-0.406588055,0.86420827,1.00356432,43.4084409,37.56058612,115,1,1,safe,
-0.406588055,0.86420827,1.047197551,43.4084409,37.56058612,120,1,1,safe,
-0.406588055,0.86420827,1.090830782,43.4084409,37.56058612,125,1,1,safe,
-0.406588055,0.86420827,1.134464014,43.4084409,37.56058612,130,1,1,safe,
-0.406588055,0.86420827,1.178097245,43.4084409,37.56058612,135,1,1,safe,
-0.406588055,0.86420827,1.221730476,43.4084409,37.56058612,140,1,1,safe,
-0.406588055,0.86420827,1.265363708,43.4084409,37.56058612,145,1,1,safe,
-0.406588055,0.86420827,1.308996939,43.4084409,37.56058612,150,1,1,safe,
-0.406588055,0.86420827,1.35263017,43.4084409,37.56058612,155,1,1,safe,
-0.406588055,0.86420827,1.396263402,43.4084409,37.56058612,160,1,1,safe,
-0.406588055,0.86420827,1.439896633,43.4084409,37.56058612,165,1,1,safe,
-0.406588055,0.86420827,1.483529864,43.4084409,37.56058612,170,1,1,safe,
-0.406588055,0.86420827,1.527163096,43.4084409,37.56058612,175,1,1,safe,
-0.406588055,0.899114855,0,43.4084409,33.56058613,0,1,1,safe,
-0.406588055,0.899114855,0.0436332313,43.4084409,33.56058613,5,1,1,safe,
-0.406588055,0.899114855,0.0872664626,43.4084409,33.56058613,10,1,1,safe,
-0.406588055,0.899114855,0.1308996939,43.4084409,33.56058613,15,1,1,safe,
-0.406588055,0.899114855,0.1745329252,43.4084409,33.56058613,20,1,1,safe,
-0.406588055,0.899114855,0.2181661565,43.4084409,33.56058613,25,1,1,safe,
-0.406588055,0.899114855,0.2617993878,43.4084409,33.56058613,30,1,1,safe,
-0.406588055,0.899114855,0.3054326191,43.4084409,33.56058613,35,1,1,safe,
-0.406588055,0.899114855,0.3490658504,43.4084409,33.56058613,40,1,1,safe,
-0.406588055,0.899114855,0.3926990817,43.4084409,33.56058613,45,1,1,safe,
-0.406588055,0.899114855,0.436332313,43.4084409,33.56058613,50,1,1,safe,
-0.406588055,0.899114855,0.4799655443,43.4084409,33.56058613,55,1,1,safe,
-0.406588055,0.899114855,0.5235987756,43.4084409,33.56058613,60,1,1,safe,
-0.406588055,0.899114855,0.5672320069,43.4084409,33.56058613,65,1,1,safe,
-0.406588055,0.899114855,0.6108652382,43.4084409,33.56058613,70,1,1,safe,
-0.406588055,0.899114855,0.6544984695,43.4084409,33.56058613,75,1,1,safe,
-0.406588055,0.899114855,0.6981317008,43.4084409,33.56058613,80,1,1,safe,
-0.406588055,0.899114855,0.7417649321,43.4084409,33.56058613,85,1,1,safe,
-0.406588055,0.899114855,0.7853981634,43.4084409,33.56058613,90,1,1,safe,
-0.406588055,0.899114855,0.8290313947,43.4084409,33.56058613,95,1,1,safe,
-0.406588055,0.899114855,0.872664626,43.4084409,33.56058613,100,1,1,safe,
-0.406588055,0.899114855,0.9162978573,43.4084409,33.56058613,105,1,1,safe,
-0.406588055,0.899114855,0.9599310886,43.4084409,33.56058613,110,1,1,safe,
